109;Le Coffea;2.283569899999975;48.8901451;brasserie;brasserie;59 Rue Danton;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
110;Le Coup de Torchon;2.2919797;48.8975914;restaurant;traditionnel;39 Rue Raspail;;;92300;;LEVALLOIS-PERRET;;;;;01 47 37 37 88;;;;;;;0;1
111;Le Damas;2.284371999999962;48.8902042;exotique;libanais;47 Rue Marius Aufan;;;92300;;LEVALLOIS-PERRET;;;;;01 40 90 09 53;;;;;;;0;1
112;Le Diablotin;2.278932;48.895289;restaurant;traditionnel;6 Rue Baudin;;;92300;;LEVALLOIS-PERRET;;http://www.restaurantlediablotin.com/;;;01 47 58 60 97;;;;;;;180;1
113;Le Figuier;2.281548100000009;48.8892809;exotique;oriental;8 Rue Aristide Briand;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
114;Le Fontenoy;2.286183299999948;48.8878201;brasserie;brasserie;16 Rue Louise Michel;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
115;Le Gourmandier;2.2926769;48.8967802;restaurant;traditionnel;35 Rue Camille Pelletan;;;92300;;LEVALLOIS-PERRET;;;;;01 47 30 88 20;;;;;;;0;1
116;Le Hoche;2.2871395;48.8926751;restaurant;traditionnel;43 Rue Gabriel Péri;;;92300;;LEVALLOIS-PERRET;;;;;01 47 57 61 08;;;;;;;0;1
117;Le Jardin aux Perroquets;2.2885045000000446;48.8890128;restaurant;traditionnel;36 Rue Louise Michel;;;92300;;LEVALLOIS-PERRET;;;;;01 47 57 12 87;;;;;;;0;1
118;Le Laurier;2.291323700000021;48.8990372;brasserie;brasserie;14 Rue Collange;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
119;Le Longchamp;2.293503600000008;48.8922958;brasserie;brasserie;57 Rue Jean Jaurès;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
120;Le Lutécia;2.2964613000000327;48.8959337;brasserie;brasserie;75 Rue Victor Hugo;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
121;Le Marceau;2.283958200000029;48.8880687;exotique;oriental;35 Rue Chaptal;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
122;Le Marius;2.2833411999999953;48.8917701;restaurant;traditionnel;69 Rue Marius Aufran;;;92300;;LEVALLOIS-PERRET;;;;;01 47 48 16 69;;;;;;;0;1
123;Le Marjolin;2.291291;48.896771;restaurant;traditionnel;46 Rue Marjolin;;;92300;;LEVALLOIS-PERRET;;http://lemarjolin.fr/;;;01 41 06 06 28;;;;;;;45;1
124;Le Narval;2.282126299999959;48.8956414;brasserie;brasserie;120 Rue Anatole France;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
125;Le Neptune;2.2796495999999706;48.8903936;brasserie;brasserie;2 Rue de l'Aspirant Dargent;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
126;Le Noris;2.295089800000028;48.8939778;restaurant;traditionnel;134 Rue Louis Rouquier;;;92300;;LEVALLOIS-PERRET;;;;;01 47 37 46 88;;;;;;;0;1
127;Le Petit Poucet;2.272625;48.897501;restaurant;traditionnel;4 Rond-Point Claude Monet;Île de la Jatte;;92300;;LEVALLOIS-PERRET;;http://www.le-petit-poucet.com/;;;01 47 38 61 85;;;;;;;60;1
128;Le Petit Tonneau;2.282720100000006;48.8933134;brasserie;brasserie;100  Rue Marius Aufan;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
129;Le Quartier;2.2931581;48.8957319;brasserie;brasserie;1-5 Place Jean Zay;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
130;Le Rallye Villiers;2.2766408;48.8935643;brasserie;brasserie;3 Place de la Libération;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
131;Le Réfectoire;2.288896;48.889363;brasserie;brasserie;44 Rue Louise Michel;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
132;Le Relais des Arts;2.2799014;48.8955691;brasserie;brasserie;135 Rue Marius Aufan;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
133;Le Rossignol;2.2921909;48.8910458;italien;italien;39 Rue Jean Jaurès;;;92300;;LEVALLOIS-PERRET;;;;;01 47 39 04 88;;;;;;;0;1
134;Le Royal Collange;2.2893794;48.8991674;restaurant;traditionnel;6 Place du 11 Novembre 1918;;;92300;;LEVALLOIS-PERRET;;;;;01 47 37 44 05;;;;;;;0;1
135;Le Sabodet;2.291165;48.893719;restaurant;traditionnel;36 Rue Édouard Vaillant;;;92300;;LEVALLOIS-PERRET;;http://www.bistrotsabodet.com/;;;01 47 37 54 21;;;;;;;5;1
136;Le Saint-Claude;2.2837494;48.891618;brasserie;brasserie;78 Rue Marius Aufan;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
137;Le Saint-Georges;2.293272;48.8986218;italien;italien;8 Rue Belgrand;;;92300;;LEVALLOIS-PERRET;;;;;01 42 70 53 75;;;;;;;0;1
138;Le Sancerre;2.287245;48.889811;italien;italien;31 Rue Henri Barbusse;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;90;1
139;Le Soleil;2.2877879;48.8890221;brasserie;brasserie;19 Rue Anatole France;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
140;Le Spot;2.2893571;48.8902682;crêperie;crêperie;1 Place Henri Barbusse;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
141;Le Tassili;2.2901888;48.8992331;restaurant;traditionnel;16ter Rue Collange;;;92300;;LEVALLOIS-PERRET;;;;;01 47 37 25 78;;;;;;;0;1
142;Le Trébois;2.2903182;48.8909197;brasserie;brasserie;11 Rue Henri Barbusse;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
143;Le Vaillant;2.2874045;48.8976222;restaurant;traditionnel;95 Rue Édouard Vaillant;;;92300;;LEVALLOIS-PERRET;;;;;01 47 37 52 04;;;;;;;0;1
144;Le Valois;2.292165;48.8908072;restaurant;traditionnel;36 Rue Jean Jaurès;;;92300;;LEVALLOIS-PERRET;;;;;01 40 87 10 78;;;;;;;0;1
145;Le Victor Hugo;2.2939042;48.8985042;brasserie;brasserie;117 Rue Victor Hugo;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
146;Le Zinc du Marché;2.288189;48.890730;restaurant;traditionnel;4bis Place Henri Barbusse;;;92300;;LEVALLOIS-PERRET;;http://www.lezincdumarche.com/;;;01 47 57 60 77;;;;;;;315;1
147;L'Eden;2.289479300000039;48.8919398;brasserie;brasserie;83 Rue Louis Rouquier;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
148;L'Elfe Assis;2.289316;48.889520;crêperie;crêperie;48 Rue Louise Michel;;;92300;;LEVALLOIS-PERRET;;http://www.elfe-assis.com/;;;01 47 31 85 09;;;;;;;135;1
149;L'Entracte;2.286607199999935;48.8879012;restaurant;traditionnel;20 Rue Louise Michel;;;92300;;LEVALLOIS-PERRET;;;;;01 47 59 60 12;;;;;;;0;1
150;Les Délices du Kashmir;2.281703;48.895658;exotique;indien;133 Rue Anatole France;;;92300;;LEVALLOIS-PERRET;;;;;01 47 58 81 73;;;;;;;225;1
151;Les Délicieuses;2.286465;48.890445;crêperie;crêperie;53 Rue Anatole France;;;92300;;LEVALLOIS-PERRET;;;;;01 40 89 06 77;;;;https://www.facebook.com/pages/Les-Délicieuses/481435878668096;;;225;1
152;Les Fontaines;2.281372;48.899065;restaurant;traditionnel;17 Place Georges Pompidou;;;92300;;LEVALLOIS-PERRET;;;;;01 47 48 09 09;;;;;;;0;1
153;Les Gourmets;2.282941400000027;48.8912882;restaurant;traditionnel;88 Rue Danton;;;92300;;LEVALLOIS-PERRET;;;;;01 47 57 25 99;;;;;;;0;1
154;L'Escale;2.2880380999999943;48.8914387;brasserie;brasserie;67 Rue Louis Rouquier;;;92300;;LEVALLOIS-PERRET;;;;;;;;;;;;0;1
155;Let's Wok;2.291088;48.889931;asiatique;chinois;2 Rue Trébois;;;92300;;LEVALLOIS-PERRET;;;;;01 42 70 88 02;;;;;;;5;1
156;L'Express Café;2.286732;48.891638;restaurant;traditionnel;60 Rue Aristide Briand;;;92300;;LEVALLOIS-PERRET;;;;;01 47 57 71 66;;;;;;;225;1
157;LG Café;2.2809780999999703;48.8928916;restaurant;traditionnel;36 Rue Kléber;;;92300;;LEVALLOIS-PERRET;;;;;01 41 05 09 11;;;;;;;0;1
